Centroid Longitude,Centroid Latitude,Top-Left Longitude,Top-Left Latitude,Bottom-Right Longitude,Bottom-Right Latitude
-45.78039266694111,-10.561941953035273,-45.95107257092382,-10.391262049052564,-45.6097127629584,-10.732621857017984
-46.12175247490653,-10.903301761000693,-46.29243237888924,-10.732621857017984,-45.95107257092382,-11.073981664983402
-46.12175247490653,-10.561941953035273,-46.29243237888924,-10.391262049052564,-45.95107257092382,-10.732621857017984
-46.12175247490653,-11.24466156896611,-46.29243237888924,-11.073981664983402,-45.95107257092382,-11.41534147294882
-46.46311228287195,-11.24466156896611,-46.633792186854656,-11.073981664983402,-46.29243237888924,-11.41534147294882
-42.36679458728693,-11.586021376931528,-42.53747449126964,-11.41534147294882,-42.19611468330422,-11.756701280914237
-45.43903285897569,-10.561941953035273,-45.6097127629584,-10.391262049052564,-45.268352954992984,-10.732621857017984
-46.12175247490653,-11.927381184896948,-46.29243237888924,-11.756701280914237,-45.95107257092382,-12.098061088879657
-42.36679458728693,-12.268740992862366,-42.53747449126964,-12.098061088879657,-42.19611468330422,-12.439420896845075
-42.36679458728693,-11.24466156896611,-42.53747449126964,-11.073981664983402,-42.19611468330422,-11.41534147294882
-45.78039266694111,-11.927381184896948,-45.95107257092382,-11.756701280914237,-45.6097127629584,-12.098061088879657
-46.12175247490653,-11.586021376931528,-46.29243237888924,-11.41534147294882,-45.95107257092382,-11.756701280914237
-45.78039266694111,-10.220582145069855,-45.95107257092382,-10.049902241087146,-45.6097127629584,-10.391262049052564
-45.78039266694111,-10.903301761000693,-45.95107257092382,-10.732621857017984,-45.6097127629584,-11.073981664983402
-46.12175247490653,-12.268740992862366,-46.29243237888924,-12.098061088879657,-45.95107257092382,-12.439420896845075
-46.46311228287195,-12.268740992862366,-46.633792186854656,-12.098061088879657,-46.29243237888924,-12.439420896845075
-46.46311228287195,-10.903301761000693,-46.633792186854656,-10.732621857017984,-46.29243237888924,-11.073981664983402
-45.43903285897569,-11.586021376931528,-45.6097127629584,-11.41534147294882,-45.268352954992984,-11.756701280914237
-42.36679458728693,-11.927381184896948,-42.53747449126964,-11.756701280914237,-42.19611468330422,-12.098061088879657
-45.097673051010275,-11.927381184896948,-45.268352954992984,-11.756701280914237,-44.92699314702757,-12.098061088879657
-45.78039266694111,-11.586021376931528,-45.95107257092382,-11.41534147294882,-45.6097127629584,-11.756701280914237
-45.43903285897569,-11.927381184896948,-45.6097127629584,-11.756701280914237,-45.268352954992984,-12.098061088879657
-44.75631324304486,-12.268740992862366,-44.92699314702757,-12.098061088879657,-44.58563333906215,-12.439420896845075
-45.097673051010275,-12.268740992862366,-45.268352954992984,-12.098061088879657,-44.92699314702757,-12.439420896845075
-46.46311228287195,-10.561941953035273,-46.633792186854656,-10.391262049052564,-46.29243237888924,-10.732621857017984
-46.46311228287195,-11.927381184896948,-46.633792186854656,-11.756701280914237,-46.29243237888924,-12.098061088879657
-46.46311228287195,-11.586021376931528,-46.633792186854656,-11.41534147294882,-46.29243237888924,-11.756701280914237
-45.43903285897569,-10.903301761000693,-45.6097127629584,-10.732621857017984,-45.268352954992984,-11.073981664983402
-45.78039266694111,-13.29282041675862,-45.95107257092382,-13.12214051277591,-45.6097127629584,-13.463500320741328
-45.78039266694111,-12.268740992862366,-45.95107257092382,-12.098061088879657,-45.6097127629584,-12.439420896845075
-44.75631324304486,-10.903301761000693,-44.92699314702757,-10.732621857017984,-44.58563333906215,-11.073981664983402
-45.78039266694111,-11.24466156896611,-45.95107257092382,-11.073981664983402,-45.6097127629584,-11.41534147294882
-46.12175247490653,-10.220582145069855,-46.29243237888924,-10.049902241087146,-45.95107257092382,-10.391262049052564
-45.43903285897569,-12.268740992862366,-45.6097127629584,-12.098061088879657,-45.268352954992984,-12.439420896845075
-42.36679458728693,-12.610100800827784,-42.53747449126964,-12.439420896845075,-42.19611468330422,-12.780780704810493
-46.46311228287195,-13.29282041675862,-46.633792186854656,-13.12214051277591,-46.29243237888924,-13.463500320741328
-45.78039266694111,-12.951460608793202,-45.95107257092382,-12.780780704810493,-45.6097127629584,-13.12214051277591
-45.43903285897569,-13.29282041675862,-45.6097127629584,-13.12214051277591,-45.268352954992984,-13.463500320741328
-45.43903285897569,-12.951460608793202,-45.6097127629584,-12.780780704810493,-45.268352954992984,-13.12214051277591
-46.46311228287195,-8.513783105242766,-46.633792186854656,-8.343103201260057,-46.29243237888924,-8.684463009225475
-42.70815439525235,-9.53786252913902,-42.87883429923506,-9.36718262515631,-42.53747449126964,-9.708542433121728
-45.097673051010275,-10.903301761000693,-45.268352954992984,-10.732621857017984,-44.92699314702757,-11.073981664983402
-46.46311228287195,-9.53786252913902,-46.633792186854656,-9.36718262515631,-46.29243237888924,-9.708542433121728
-46.804472090837365,-9.196502721173601,-46.975151994820074,-9.025822817190893,-46.633792186854656,-9.36718262515631
-43.390874011183186,-10.561941953035273,-43.561553915165895,-10.391262049052564,-43.22019410720048,-10.732621857017984
-44.07359362711402,-12.268740992862366,-44.24427353109673,-12.098061088879657,-43.90291372313131,-12.439420896845075
-42.36679458728693,-10.903301761000693,-42.53747449126964,-10.732621857017984,-42.19611468330422,-11.073981664983402
-46.46311228287195,-12.610100800827784,-46.633792186854656,-12.439420896845075,-46.29243237888924,-12.780780704810493
-45.78039266694111,-12.610100800827784,-45.95107257092382,-12.439420896845075,-45.6097127629584,-12.780780704810493
-46.804472090837365,-8.513783105242766,-46.975151994820074,-8.343103201260057,-46.633792186854656,-8.684463009225475
-44.75631324304486,-11.24466156896611,-44.92699314702757,-11.073981664983402,-44.58563333906215,-11.41534147294882
-46.12175247490653,-9.196502721173601,-46.29243237888924,-9.025822817190893,-45.95107257092382,-9.36718262515631
-45.097673051010275,-9.196502721173601,-45.268352954992984,-9.025822817190893,-44.92699314702757,-9.36718262515631
-45.78039266694111,-9.196502721173601,-45.95107257092382,-9.025822817190893,-45.6097127629584,-9.36718262515631
-44.41495343507944,-10.561941953035273,-44.58563333906215,-10.391262049052564,-44.24427353109673,-10.732621857017984
-46.46311228287195,-9.196502721173601,-46.633792186854656,-9.025822817190893,-46.29243237888924,-9.36718262515631
-46.12175247490653,-12.610100800827784,-46.29243237888924,-12.439420896845075,-45.95107257092382,-12.780780704810493
-44.07359362711402,-8.513783105242766,-44.24427353109673,-8.343103201260057,-43.90291372313131,-8.684463009225475
