Label,Value
60V,0.025652286
49P,0.025633087
31V,0.02444927
21M,0.024010502
18R,0.023381362
16V,0.023145983
29N,0.022956606
50P,0.022074701
60K,0.021736206
18G,0.021627232
31N,0.021560231
30V,0.021498414
30N,0.021183316
55M,0.020853203
50Q,0.020745851
19L,0.020696431
25M,0.020692313
18F,0.020455696
56M,0.020230735
20M,0.020071417
38L,0.019719964
55T,0.018695733
22H,0.018622922
12Q,0.017995028
18M,0.017847346
43N,0.017662281
60G,0.017597923
49K,0.017380951
47M,0.016810294
04Q,0.016799193
18K,0.016683714
18H,0.016361164
02V,0.01636097
21T,0.01623629
49L,0.016221104
52R,0.016211906
57K,0.016198289
20Q,0.01583499
22V,0.015819477
17L,0.015613704
17N,0.015286826
52N,0.015283188
32K,0.015036763
03U,0.014598565
23N,0.014514092
44N,0.014436539
21G,0.014385868
57L,0.014336897
29V,0.013991528
40M,0.013774605
59H,0.013238713
21E,0.012953835
56L,0.012951516
40K,0.012095244
01K,0.011907124
23J,0.011881019
52H,0.01176788
01V,0.011733306
32M,0.011710237
25L,0.011257369
21F,0.011095443
15M,0.010630815
21P,0.009971443
56U,0.009614493
58L,0.009447228
20F,0.009328232
42F,0.008825579
24V,0.0083882455
58G,0.008220836
01U,0.007833783
27V,0.0077851047
22T,0.00771948
08U,0.007639759
05Q,0.007619785
59K,0.007461828
01G,0.0068636783
28U,0.0068362
24F,0.0066352645
27P,0.0065207686
26Q,0.006497797
14P,0.006445177
57M,0.0063412525
38M,0.0063219876
58U,0.0063146017
22U,0.0063038077
04U,0.006161198
33H,0.005965189
55U,0.0059479754
60M,0.0057579977
28N,0.0055522807
26S,0.0055368943
02L,0.005507091
46N,0.0054562604
60U,0.005246061
06L,0.0051936964
59N,0.0051875208
42M,0.005169461
02U,0.004997664
16M,0.0049706073
06K,0.004911393
07L,0.0048380434
28V,0.004768773
43M,0.004616077
40P,0.0043690884
43F,0.004164054
17E,0.0040772036
26E,0.004027613
59U,0.0039155856
04N,0.003910817
18E,0.0037857692
52P,0.003722203
07K,0.003638967
23T,0.0034053936
20E,0.0034035777
54R,0.0032978852
27Q,0.0032050773
25F,0.0031388893
57J,0.0030734048
56T,0.0029843422
55P,0.0029552798
19S,0.002933075
23E,0.0028430752
28S,0.002778368
26P,0.0027380527
58F,0.0026444427
58H,0.0026387777
41K,0.002548467
05K,0.0024596618
59J,0.0024553903
59F,0.0024431194
03R,0.002428162
58P,0.0024259666
42G,0.0023538836
17F,0.0021752622
39M,0.0021134766
21V,0.00207045
32L,0.0020172175
54G,0.0019573118
56N,0.0019069766
53N,0.0018876828
59P,0.0018793014
03Q,0.0018384015
40L,0.0017903943
15N,0.0017534097
59L,0.0016498165
58J,0.0015653494
26V,0.001493373
39G,0.0014745954
08K,0.0013554419
04K,0.0012882825
60L,0.0012628268
01R,0.0012311651
19E,0.0011649822
05U,0.0011513948
55N,0.001149201
01L,0.0011479439
37G,0.001108364
02K,0.001075245
02R,0.00104056
55Q,0.0010157897
02M,0.001004594
20S,0.0009823696
57F,0.0009817091
60F,0.00090979127
57N,0.0008124004
56P,0.0007783289
01J,0.00076522643
03N,0.000696994
05M,0.00066514313
27R,0.00065927237
47L,0.0006505491
31F,0.0006335991
12J,0.00061373156
54P,0.00059701945
04L,0.00058788306
05L,0.0005847727
25S,0.0005019762
17H,0.00046180558
28H,0.00045734414
26R,0.0004522713
07M,0.0004329141
53P,0.0004253431
48L,0.00042264687
16N,0.00039292529
60J,0.0003904423
03L,0.00038837458
28M,0.00037747956
26K,0.00037543982
38G,0.00036139553
43H,0.00035966118
01N,0.00035634878
57H,0.00034735323
09J,0.00033453145
01M,0.0003319075
30L,0.00031808062
58Q,0.0003002164
42P,0.00023703059
11Q,0.00022623064
58N,0.0002211611
06J,0.00021285395
23U,0.00021059341
02Q,0.00020934628
41F,0.00019147535
54N,0.00018705262
