Centroid Longitude,Centroid Latitude,Top-Left Longitude,Top-Left Latitude,Bottom-Right Longitude,Bottom-Right Latitude
-68.75929763471848,-27.926376395065628,-68.92997753870118,-27.75569649108292,-68.58861773073576,-28.097056299048337
-68.75929763471848,-26.90229697116937,-68.92997753870118,-26.73161706718666,-68.58861773073576,-27.07297687515208
-68.41793782675305,-26.560937163203953,-68.58861773073576,-26.390257259221244,-68.24725792277034,-26.73161706718666
-67.73521821082221,-28.95045581896188,-67.90589811480493,-28.779775914979172,-67.56453830683951,-29.12113572294459
-68.41793782675305,-27.24365677913479,-68.58861773073576,-27.07297687515208,-68.24725792277034,-27.4143366831175
-68.41793782675305,-26.90229697116937,-68.58861773073576,-26.73161706718666,-68.24725792277034,-27.07297687515208
-66.36977897896054,-26.90229697116937,-66.54045888294326,-26.73161706718666,-66.19909907497784,-27.07297687515208
-68.75929763471848,-27.58501658710021,-68.92997753870118,-27.4143366831175,-68.58861773073576,-27.75569649108292
-67.39385840285681,-27.24365677913479,-67.56453830683951,-27.07297687515208,-67.22317849887409,-27.4143366831175
-67.73521821082221,-29.2918156269273,-67.90589811480493,-29.12113572294459,-67.56453830683951,-29.462495530910008
-69.10065744268388,-26.90229697116937,-69.2713373466666,-26.73161706718666,-68.92997753870118,-27.07297687515208
-68.75929763471848,-27.24365677913479,-68.92997753870118,-27.07297687515208,-68.58861773073576,-27.4143366831175
-67.73521821082221,-26.90229697116937,-67.90589811480493,-26.73161706718666,-67.56453830683951,-27.07297687515208
-67.39385840285681,-27.58501658710021,-67.56453830683951,-27.4143366831175,-67.22317849887409,-27.75569649108292
-67.39385840285681,-28.95045581896188,-67.56453830683951,-28.779775914979172,-67.22317849887409,-29.12113572294459
-68.75929763471848,-29.2918156269273,-68.92997753870118,-29.12113572294459,-68.58861773073576,-29.462495530910008
-70.12473686658015,-29.2918156269273,-70.29541677056285,-29.12113572294459,-69.95405696259743,-29.462495530910008
-68.07657801878764,-26.560937163203953,-68.24725792277034,-26.390257259221244,-67.90589811480493,-26.73161706718666
-67.05249859489138,-28.609096010996463,-67.22317849887409,-28.438416107013754,-66.88181869090867,-28.779775914979172
-69.44201725064931,-29.633175434892717,-69.61269715463202,-29.462495530910008,-69.2713373466666,-29.803855338875426
-67.05249859489138,-26.560937163203953,-67.22317849887409,-26.390257259221244,-66.88181869090867,-26.73161706718666
-68.75929763471848,-28.267736203031046,-68.92997753870118,-28.097056299048337,-68.58861773073576,-28.438416107013754
-66.71113878692597,-26.90229697116937,-66.88181869090867,-26.73161706718666,-66.54045888294326,-27.07297687515208
-67.73521821082221,-27.24365677913479,-67.90589811480493,-27.07297687515208,-67.56453830683951,-27.4143366831175
