Centroid Longitude,Centroid Latitude,Top-Left Longitude,Top-Left Latitude,Bottom-Right Longitude,Bottom-Right Latitude
-128.4164156530959,59.04850941338645,-128.5870955570786,59.21918931736916,-128.2457357491132,58.87782950940374
-129.44049507699216,59.389869221351866,-129.61117498097488,59.560549125334575,-129.26981517300945,59.21918931736916
-129.78185488495757,59.04850941338645,-129.95253478894028,59.21918931736916,-129.61117498097488,58.87782950940374
-128.75777546106133,59.389869221351866,-128.92845536504404,59.560549125334575,-128.5870955570786,59.21918931736916
-127.05097642123422,58.70714960542103,-127.22165632521694,58.87782950940374,-126.88029651725152,58.53646970143832
-127.39233622919966,60.41394864524812,-127.56301613318236,60.58462854923083,-127.22165632521694,60.24326874126541
-126.36825680530339,60.41394864524812,-126.5389367092861,60.58462854923083,-126.19757690132069,60.24326874126541
-127.39233622919966,60.75530845321354,-127.56301613318236,60.925988357196246,-127.22165632521694,60.58462854923083
-127.73369603716506,60.75530845321354,-127.90437594114778,60.925988357196246,-127.56301613318236,60.58462854923083
-128.4164156530959,60.75530845321354,-128.5870955570786,60.925988357196246,-128.2457357491132,60.58462854923083
-126.70961661326882,59.04850941338645,-126.88029651725152,59.21918931736916,-126.5389367092861,58.87782950940374
-126.70961661326882,58.70714960542103,-126.88029651725152,58.87782950940374,-126.5389367092861,58.53646970143832
-129.09913526902676,59.389869221351866,-129.26981517300945,59.560549125334575,-128.92845536504404,59.21918931736916
-128.4164156530959,60.41394864524812,-128.5870955570786,60.58462854923083,-128.2457357491132,60.24326874126541
-128.4164156530959,59.389869221351866,-128.5870955570786,59.560549125334575,-128.2457357491132,59.21918931736916
-127.39233622919966,58.70714960542103,-127.56301613318236,58.87782950940374,-127.22165632521694,58.53646970143832
-128.0750558451305,60.41394864524812,-128.2457357491132,60.58462854923083,-127.90437594114778,60.24326874126541
-128.75777546106133,59.04850941338645,-128.92845536504404,59.21918931736916,-128.5870955570786,58.87782950940374
-128.75777546106133,60.41394864524812,-128.92845536504404,60.58462854923083,-128.5870955570786,60.24326874126541
-126.70961661326882,59.731229029317284,-126.88029651725152,59.90190893329999,-126.5389367092861,59.560549125334575
-126.36825680530339,59.389869221351866,-126.5389367092861,59.560549125334575,-126.19757690132069,59.21918931736916
-129.44049507699216,59.04850941338645,-129.61117498097488,59.21918931736916,-129.26981517300945,58.87782950940374
-129.09913526902676,59.731229029317284,-129.26981517300945,59.90190893329999,-128.92845536504404,59.560549125334575
-129.78185488495757,59.389869221351866,-129.95253478894028,59.560549125334575,-129.61117498097488,59.21918931736916
-128.0750558451305,58.70714960542103,-128.2457357491132,58.87782950940374,-127.90437594114778,58.53646970143832
-128.4164156530959,58.70714960542103,-128.5870955570786,58.87782950940374,-128.2457357491132,58.53646970143832
-128.0750558451305,59.04850941338645,-128.2457357491132,59.21918931736916,-127.90437594114778,58.87782950940374
-129.44049507699216,59.731229029317284,-129.61117498097488,59.90190893329999,-129.26981517300945,59.560549125334575
-129.09913526902676,59.04850941338645,-129.26981517300945,59.21918931736916,-128.92845536504404,58.87782950940374
-129.78185488495757,59.731229029317284,-129.95253478894028,59.90190893329999,-129.61117498097488,59.560549125334575
-128.75777546106133,60.75530845321354,-128.92845536504404,60.925988357196246,-128.5870955570786,60.58462854923083
-127.73369603716506,58.70714960542103,-127.90437594114778,58.87782950940374,-127.56301613318236,58.53646970143832
-128.0750558451305,60.75530845321354,-128.2457357491132,60.925988357196246,-127.90437594114778,60.58462854923083
-127.73369603716506,60.41394864524812,-127.90437594114778,60.58462854923083,-127.56301613318236,60.24326874126541
-129.44049507699216,60.75530845321354,-129.61117498097488,60.925988357196246,-129.26981517300945,60.58462854923083
-129.09913526902676,60.75530845321354,-129.26981517300945,60.925988357196246,-128.92845536504404,60.58462854923083
-127.05097642123422,60.75530845321354,-127.22165632521694,60.925988357196246,-126.88029651725152,60.58462854923083
-130.46457450088843,60.41394864524812,-130.63525440487112,60.58462854923083,-130.29389459690572,60.24326874126541
-130.123214692923,59.04850941338645,-130.29389459690572,59.21918931736916,-129.95253478894028,58.87782950940374
-126.36825680530339,59.731229029317284,-126.5389367092861,59.90190893329999,-126.19757690132069,59.560549125334575
-130.123214692923,58.70714960542103,-130.29389459690572,58.87782950940374,-129.95253478894028,58.53646970143832
